Date,NGM:BTC.ZERO.SEK,NGM:ETH.ZERO.SEK,NGM:VALOUR.AVALANCHE.AVAX.SEK,NGM:VALOUR.CARDANO.SEK,NGM:VALOUR.POLKADOT.SEK,NGM:VALOUR.UNISWAP.SEK
07.04.22,481665.8218,977892.6959,81513.39347,682313.3687,220354.8565,54423.73031
08.04.22,529540.1888,1069686.284,80785.67237,455702.6416,142827.8661,66519.24382
11.04.22,759012.7706,1274336.109,294518.9316,1025771.351,369293.4951,41770.93038
12.04.22,595798.5156,425446.4948,65310.35487,441843.0865,224279.1983,40013.27513
13.04.22,221527.5931,306257.062,194192.5895,284255.5478,142368.1417,13754.54146
14.04.22,118211.6385,498010.9337,15607.65217,182217.7452,941870.7503,1215.082125
19.04.22,480444.2674,472221.0679,77260.05891,325889.2191,112059.351,13727.66765
20.04.22,279631.0814,405211.9268,36631.9874,318477.4018,153185.468,20347.36205
21.04.22,280518.2679,284756.8191,39584.28853,134048.7807,144862.0998,24853.76838
22.04.22,475355.2081,223986.7575,51298.45027,298422.0296,147541.9477,9189.1011
25.04.22,565630.1109,624741.3733,122903.7692,474227.2468,147032.8931,28138.70719
26.04.22,457567.6276,471035.2534,71931.48582,234643.6968,126713.1178,6687.302706
27.04.22,394126.5074,258909.1281,44921.48053,221484.4141,166713.191,14733.23256
28.04.22,453457.5867,516352.6905,25371.51033,227093.7104,56925.62611,14071.62439
29.04.22,405251.701,251712.2925,17771.3052,323063.8861,77118.85324,22204.85582
02.05.22,543442.8306,495371.3767,59784.85872,645401.5265,269965.5427,28609.41563
03.05.22,302516.5251,132505.2547,18386.84679,311957.9921,176019.1027,5677.178139
04.05.22,484706.832,238051.5194,32102.87893,385577.326,69177.43675,17764.72647
05.05.22,393901.6463,211644.4421,46998.56305,435879.6481,125109.1698,19132.71989
06.05.22,904344.7291,896985.8649,205537.8803,539696.3761,201599.4932,13684.60696
09.05.22,1041431.166,1333371.626,57948.89634,1081812.083,770088.6746,22358.61639
10.05.22,1504083.249,610519.2588,97232.29523,458877.7653,246701.184,36742.77245
11.05.22,1313096.802,1099252.155,185854.9327,973868.1224,458979.8179,23377.34578
12.05.22,1280401.425,1240456.868,174009.0776,780424.9994,265239.6482,18772.93348
13.05.22,508657.4088,558143.1374,100492.5105,774704.7146,355008.5825,20265.65488
16.05.22,406716.1723,276279.4003,35172.29913,429384.4017,236286.5925,4604.925721
17.05.22,208330.4785,498953.2737,21587.71125,257877.751,151196.8078,17817.92636
18.05.22,235832.1707,299941.5305,15026.9494,302552.9305,138198.102,16274.06265
19.05.22,965709.5231,866050.984,32824.23921,216231.4666,172794.7039,7507.336486
20.05.22,340642.9493,514918.4683,7480.742341,324623.502,97288.18102,21737.77507
23.05.22,294635.5723,151187.1358,137005.3389,233903.6227,135672.8665,6172.947068
24.05.22,185257.7208,209397.0119,30037.72209,218917.9061,69471.19612,17932.47802
25.05.22,70491.61062,190868.1775,8763.848041,54252.43779,34070.60289,6884.450852
27.05.22,720418.623,632709.0335,73118.45036,443178.9477,288437.7719,8825.835867
30.05.22,356826.1183,403726.8646,37889.12148,474329.9103,100414.5119,17709.48391
31.05.22,415765.4022,315673.796,36988.30437,726820.7036,52754.94888,8497.873725
01.06.22,385732.3941,187339.1449,74699.74213,284942.1079,63702.40543,15607.7005
02.06.22,259523.687,213719.6184,37468.60251,366710.4396,49387.83422,3928.88494
03.06.22,160779.4291,449377.5401,14814.14045,246557.312,100259.7361,1149.751906
07.06.22,372377.6066,528272.6272,21959.24298,325070.8466,58540.12066,8824.240069
08.06.22,106134.9622,171817.8898,16279.92523,398678.3195,47369.41536,109.9658824
09.06.22,171526.5585,572489.4017,14445.95995,376789.744,78387.02444,2121.347263
10.06.22,614332.5545,227436.2369,9989.124436,570494.5367,49685.49719,5295.029575
13.06.22,1163201.191,1940467.396,85539.20393,774669.7901,301651.6115,17430.64186
14.06.22,894501.3105,624428.9539,62872.36795,676439.359,82112.33219,15872.44165
15.06.22,963066.2753,1234081.325,18116.91005,600132.0538,177881.7658,4296.722971
16.06.22,514249.6959,626661.8004,23191.53089,309097.4159,101543.9524,27651.7389
17.06.22,289167.1228,372563.522,4071.313902,307165.0812,55471.7646,2976.138116
20.06.22,1169642.458,889589.5076,100101.1837,411482.752,113827.9584,17839.01144
21.06.22,460818.8545,366523.4805,47681.85783,165476.525,53331.23462,8170.872708
22.06.22,352657.6488,448147.2751,27620.00716,157741.6948,67134.72216,6028.317187
23.06.22,332167.4779,168075.7184,20068.38217,220479.1548,68744.22017,3277.55334
27.06.22,172326.2312,137266.3599,37415.19935,153572.0786,59098.91753,26899.61104
